min_support,min_confidence,min_lift,num_rules,avg_confidence,avg_lift,avg_support,parameter_set
0.01,0.3,0.5,133,0.4077,1.8637,0.0181,s0.01_c0.3_l0.5
0.01,0.3,1.0,133,0.4077,1.8637,0.0181,s0.01_c0.3_l1.0
0.01,0.3,1.2,132,0.4085,1.8689,0.0178,s0.01_c0.3_l1.2
0.01,0.3,1.5,112,0.4167,1.9538,0.0175,s0.01_c0.3_l1.5
0.01,0.4,0.5,67,0.4652,1.9484,0.0169,s0.01_c0.4_l0.5
0.01,0.4,1.0,67,0.4652,1.9484,0.0169,s0.01_c0.4_l1.0
0.01,0.4,1.2,67,0.4652,1.9484,0.0169,s0.01_c0.4_l1.2
0.01,0.4,1.5,67,0.4652,1.9484,0.0169,s0.01_c0.4_l1.5
0.01,0.5,0.5,16,0.5441,2.1377,0.0141,s0.01_c0.5_l0.5
0.01,0.5,1.0,16,0.5441,2.1377,0.0141,s0.01_c0.5_l1.0
0.01,0.5,1.2,16,0.5441,2.1377,0.0141,s0.01_c0.5_l1.2
0.01,0.5,1.5,16,0.5441,2.1377,0.0141,s0.01_c0.5_l1.5
0.01,0.6,0.5,1,0.6174,2.373,0.0103,s0.01_c0.6_l0.5
0.01,0.6,1.0,1,0.6174,2.373,0.0103,s0.01_c0.6_l1.0
0.01,0.6,1.2,1,0.6174,2.373,0.0103,s0.01_c0.6_l1.2
0.01,0.6,1.5,1,0.6174,2.373,0.0103,s0.01_c0.6_l1.5
0.02,0.3,0.5,38,0.3938,1.7273,0.0313,s0.02_c0.3_l0.5
0.02,0.3,1.0,38,0.3938,1.7273,0.0313,s0.02_c0.3_l1.0
0.02,0.3,1.2,37,0.3961,1.7421,0.0306,s0.02_c0.3_l1.2
0.02,0.3,1.5,30,0.4052,1.8282,0.0307,s0.02_c0.3_l1.5
0.02,0.4,0.5,16,0.4502,1.8051,0.031,s0.02_c0.4_l0.5
0.02,0.4,1.0,16,0.4502,1.8051,0.031,s0.02_c0.4_l1.0
0.02,0.4,1.2,16,0.4502,1.8051,0.031,s0.02_c0.4_l1.2
0.02,0.4,1.5,16,0.4502,1.8051,0.031,s0.02_c0.4_l1.5
0.02,0.5,0.5,3,0.5095,1.9585,0.0244,s0.02_c0.5_l0.5
0.02,0.5,1.0,3,0.5095,1.9585,0.0244,s0.02_c0.5_l1.0
0.02,0.5,1.2,3,0.5095,1.9585,0.0244,s0.02_c0.5_l1.2
0.02,0.5,1.5,3,0.5095,1.9585,0.0244,s0.02_c0.5_l1.5
0.03,0.3,0.5,14,0.3725,1.5694,0.0429,s0.03_c0.3_l0.5
0.03,0.3,1.0,14,0.3725,1.5694,0.0429,s0.03_c0.3_l1.0
0.03,0.3,1.2,13,0.3775,1.5994,0.0418,s0.03_c0.3_l1.2
0.03,0.3,1.5,9,0.3878,1.7048,0.0455,s0.03_c0.3_l1.5
0.03,0.4,0.5,5,0.4274,1.7563,0.0452,s0.03_c0.4_l0.5
0.03,0.4,1.0,5,0.4274,1.7563,0.0452,s0.03_c0.4_l1.0
0.03,0.4,1.2,5,0.4274,1.7563,0.0452,s0.03_c0.4_l1.2
0.03,0.4,1.5,5,0.4274,1.7563,0.0452,s0.03_c0.4_l1.5
0.05,0.3,0.5,3,0.3666,1.4092,0.063,s0.05_c0.3_l0.5
0.05,0.3,1.0,3,0.3666,1.4092,0.063,s0.05_c0.3_l1.0
0.05,0.3,1.2,2,0.3964,1.5238,0.066,s0.05_c0.3_l1.2
0.05,0.3,1.5,2,0.3964,1.5238,0.066,s0.05_c0.3_l1.5
0.05,0.4,0.5,1,0.4023,1.5462,0.0568,s0.05_c0.4_l0.5
0.05,0.4,1.0,1,0.4023,1.5462,0.0568,s0.05_c0.4_l1.0
0.05,0.4,1.2,1,0.4023,1.5462,0.0568,s0.05_c0.4_l1.2
0.05,0.4,1.5,1,0.4023,1.5462,0.0568,s0.05_c0.4_l1.5
